zip,primary_city,state,county,latitude,longitude,irs_estimated_population
37134,New Johnsonville,TN,Humphreys County,36.01,-87.95,2780
37135,Nolensville,TN,Williamson County,35.94,-86.64,19660
37136,Norene,TN,Wilson County,36.11,-86.29,0
37137,Nunnelly,TN,Hickman County,35.89,-87.52,2280
37138,Old Hickory,TN,Davidson County,36.22,-86.61,21190
37140,Only,TN,Hickman County,35.87,-87.65,120
37141,Orlinda,TN,Robertson County,36.6,-86.67,1100
37142,Palmyra,TN,Montgomery County,36.41,-87.5,1770
37143,Pegram,TN,Cheatham County,36.1,-87.05,3740
37144,Petersburg,TN,Lincoln County,35.31,-86.63,2770
37145,Pleasant Shade,TN,Smith County,36.38,-85.91,2100
37146,Pleasant View,TN,Cheatham County,36.37,-87.04,7430
37148,Portland,TN,Sumner County,36.58,-86.51,22180
37149,Readyville,TN,Cannon County,35.8,-86.19,2350
37150,Red Boiling Springs,TN,Macon County,36.53,-85.85,3740
37151,Riddleton,TN,Smith County,36.34,-86.03,500
37152,Ridgetop,TN,Robertson County,36.39,-86.77,433
37153,Rockvale,TN,Rutherford County,35.75,-86.55,5540
37160,Shelbyville,TN,Bedford County,35.49,-86.44,30150
37161,Shelbyville,TN,Bedford County,35.49,-86.44,0
37162,Shelbyville,TN,Bedford County,35.49,-86.44,895
37165,Slayden,TN,Dickson County,36.29,-87.47,131
37166,Smithville,TN,DeKalb County,35.95,-85.82,11810
37167,Smyrna,TN,Rutherford County,35.98,-86.51,54750
37171,Southside,TN,Montgomery County,36.36,-87.3,1030
37172,Springfield,TN,Robertson County,36.49,-86.87,28160
37174,Spring Hill,TN,Williamson County,35.74,-86.92,43550
37175,Stewart,TN,Houston County,36.32,-87.89,800
37178,Tennessee Ridge,TN,Houston County,36.31,-87.76,1910
37179,Thompsons Station,TN,Williamson County,35.82,-87.01,15970
37180,Unionville,TN,Bedford County,35.62,-86.59,3050
37181,Vanleer,TN,Dickson County,36.23,-87.44,1240
37183,Wartrace,TN,Bedford County,35.52,-86.33,3000
37184,Watertown,TN,Wilson County,36.09,-86.13,5530
37185,Waverly,TN,Humphreys County,36.09,-87.78,7200
37186,Westmoreland,TN,Sumner County,36.56,-86.24,8430
37187,White Bluff,TN,Dickson County,36.1,-87.21,6570
37188,White House,TN,Robertson County,36.46,-86.66,15470
37189,Whites Creek,TN,Davidson County,36.28,-86.83,3370
37190,Woodbury,TN,Cannon County,35.82,-86.07,7450
37191,Woodlawn,TN,Montgomery County,36.5,-87.54,3770
37201,Nashville,TN,Davidson County,36.17,-86.78,1170
37202,Nashville,TN,Davidson County,36.17,-86.78,567
37203,Nashville,TN,Davidson County,36.15,-86.79,14730
37204,Nashville,TN,Davidson County,36.11,-86.77,12350
37205,Nashville,TN,Davidson County,36.11,-86.87,21970
37206,Nashville,TN,Davidson County,36.18,-86.73,23150
